,date_of_submission,multi_country,doc_number,region_of_disaster,total_count,total_funding_provided,currency,operational_strategy
28,16-07-2023,False,MDRGE017,Georgia,9800,500000,CHF,"[{'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Georgia', 'action_description': 'Provide livelihoods and basic needs emergency assistance through Cash and Voucher Assistance to 2,800 households in 10 municipalities.', 'people_reached': {'total': 9800}, 'funding_used': 388406}], 'total_action_funding': 388406}, {'action': 'Health', 'executed_in': [{'country': 'Georgia', 'action_description': 'Provide psycho-social support services and mitigate health and hygiene risks.', 'people_reached': {'total': 1935}, 'funding_used': 4846}], 'total_action_funding': 4846}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Georgia', 'action_description': 'Engage communities through information dissemination, feedback mechanisms, and local capacity building.', 'people_reached': {'total': 1935}, 'funding_used': 10064}], 'total_action_funding': 10064}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Georgia', 'action_description': 'Provide technical support, conduct needs assessments, and establish CVA modality.', 'people_reached': {'total': 115}, 'funding_used': 17706}], 'total_action_funding': 17706}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Georgia', 'action_description': 'Strengthen disaster response capabilities through volunteer training and capacity building.', 'people_reached': {'total': 40}, 'funding_used': 78979}], 'total_action_funding': 78979}]"
29,2023-10-26,False,MDRGH018,"Savannah and Volta regions, Ghana",12000,462699,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Ghana', 'action_description': 'Provide emergency shelter, repair houses, and distribute blankets.', 'people_reached': {'total': 3000}, 'funding_used': None}], 'total_action_funding': None}, {'action': 'Health', 'executed_in': [{'country': 'Ghana', 'action_description': 'Provide first aid, psychological support, and distribute mosquito nets.', 'people_reached': {'total': 3000}, 'funding_used': None}], 'total_action_funding': None}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Ghana', 'action_description': 'Distribute hygiene kits, train on water treatment, and improve sanitation.', 'people_reached': {'total': None}, 'funding_used': None}], 'total_action_funding': None}, {'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Ghana', 'action_description': 'Provide multipurpose cash grants to support basic needs and livelihoods.', 'people_reached': {'total': None}, 'funding_used': None}], 'total_action_funding': None}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Ghana', 'action_description': 'Ensure inclusive and gender-balanced assistance to mitigate protection risks.', 'people_reached': {'total': None}, 'funding_used': None}], 'total_action_funding': None}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Ghana', 'action_description': 'Engage communities, collect feedback, and ensure accountability.', 'people_reached': {'total': None}, 'funding_used': None}], 'total_action_funding': None}]"
30,14-09-2023,False,MDRGT020,Guatemala,13851,277247,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Community leaders trained, educational sessions on dengue prevention, ongoing training for Red Cross staff and health personnel.', 'people_reached': {'total': 7232}, 'funding_used': 60738}], 'total_action_funding': 60738}, {'action': 'Water, Sanitation and Hygiene (WASH)', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Fogging, larvae elimination, distribution of cleaning kits and mosquito nets, educational sessions using UNTADITA and VELITA methods.', 'people_reached': {'total': 13851}, 'funding_used': 183527}], 'total_action_funding': 183527}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Child protection analysis, creation of safe spaces, training in minimum PGI standards.', 'people_reached': {'total': 20}, 'funding_used': 2935}], 'total_action_funding': 2935}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Establish feedback mechanisms, socialization of key messages about dengue, CEA and PGI workshops.', 'people_reached': {'total': 520}, 'funding_used': 978}], 'total_action_funding': 978}, {'action': 'Strengthening National Societies', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Lessons learned workshop, purchase of visibility equipment for volunteers.', 'people_reached': {'total': 0}, 'funding_used': 17940}], 'total_action_funding': 17940}]"
31,November 2023,False,MDRGT021,Guatemala,3400,370924,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Prepositioning first aid materials and kits, maintaining ambulances, and providing workshops on pre-hospital care and MHPSS.', 'people_reached': {'total': 248}, 'funding_used': 250075}], 'total_action_funding': 250075}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Training and refresher workshops on PGI minimum standards and child protection mechanisms.', 'people_reached': {'total': 196}, 'funding_used': 24712}], 'total_action_funding': 24712}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Workshop on CEA for staff and volunteers, communication campaign on neutrality and impartiality.', 'people_reached': {'total': 23}, 'funding_used': 27212}], 'total_action_funding': 27212}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Guatemala', 'action_description': 'Acquisition of visibility and personal protection supplies, socialization of security guidelines.', 'people_reached': {'total': 93}, 'funding_used': 63088}], 'total_action_funding': 63088}]"
32,28/May/2024,False,MDRGW004,"Menegue Village, Guinea Bissau",2065,116357,CHF,"[{'action': 'Shelter Housing And Settlements', 'executed_in': [{'country': 'Guinea Bissau', 'action_description': 'Provide shelter support to families affected by the fire incident.', 'people_reached': {'total': 413}, 'funding_used': 26057}], 'total_action_funding': 26057}, {'action': 'Livelihoods And Basic Needs', 'executed_in': [{'country': 'Guinea Bissau', 'action_description': 'Support local businesses and farmers affected by the fire.', 'people_reached': {'total': 2065}, 'funding_used': 44683}], 'total_action_funding': 44683}, {'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Guinea Bissau', 'action_description': 'Provide unconditional cash assistance to affected households.', 'people_reached': {'total': 413}, 'funding_used': 6608}], 'total_action_funding': 6608}, {'action': 'Health', 'executed_in': [{'country': 'Guinea Bissau', 'action_description': 'Provide health support including first aid and psychosocial support.', 'people_reached': {'total': 2065}, 'funding_used': 5163}], 'total_action_funding': 5163}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Guinea Bissau', 'action_description': 'Engage with the community to ensure participation and feedback.', 'people_reached': {'total': 2065}, 'funding_used': 2177}], 'total_action_funding': 2177}]"
33,30/01/2024,False,MDRHN018,Honduras,10300,481147,CHF,"[{'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Honduras', 'action_description': 'Distribution of multipurpose cash to support 1,800 people with essential needs.', 'people_reached': {'total': 1800, 'male': 864, 'female': 936}, 'funding_used': 172393}], 'total_action_funding': 172393}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Honduras', 'action_description': 'Distribution of domestic water treatment and hygiene kits, water quality analysis.', 'people_reached': {'total': 8500, 'male': 4080, 'female': 4420}, 'funding_used': 113138}], 'total_action_funding': 113138}, {'action': 'Risk Reduction, climate adaptation and Recovery', 'executed_in': [{'country': 'Honduras', 'action_description': 'Deployment of volunteers for kit distribution.', 'people_reached': {'total': 0}, 'funding_used': 21476}], 'total_action_funding': 21476}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Honduras', 'action_description': 'Printing of pocket EAP for volunteer and staff, satisfaction survey.', 'people_reached': {'total': 10300, 'male': 4944, 'female': 5356}, 'funding_used': 609}], 'total_action_funding': 609}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Honduras', 'action_description': 'Warehouse rental for pre-positioning, follow-up of activation activities, internship for logistics activities, lessons learned workshop.', 'people_reached': {'total': 0}, 'funding_used': 20280}], 'total_action_funding': 20280}]"
34,07-08-2023,False,MDRHN019,Honduras,20344,264251,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Honduras', 'action_description': 'Community surveillance, educational visits, mosquito breeding site elimination campaigns, insecticide spraying, training on epidemic preparedness.', 'people_reached': {'total': 20344}, 'funding_used': 56633}], 'total_action_funding': 56633}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Honduras', 'action_description': 'Vector control, elimination of mosquito breeding sites, distribution of cleaning kits and water tanks, prevention education.', 'people_reached': {'total': 11875}, 'funding_used': 153425}], 'total_action_funding': 153425}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Honduras', 'action_description': 'Child safeguarding measures implemented after risk analysis.', 'people_reached': {'total': 302}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Honduras', 'action_description': 'Internal assessment involving staff and volunteers, home visits for community engagement and accountability.', 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Honduras', 'action_description': 'Monitoring visits, surge personnel deployment, lessons learned workshop.', 'funding_used': 33308}], 'total_action_funding': 33308}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Honduras', 'action_description': 'Purchase of visibility kits, security risk analysis and mitigation workshop, lessons learned workshop.', 'people_reached': {'total': 100}, 'funding_used': 60325}], 'total_action_funding': 60325}]"
35,October 2023,False,MDRHT020,Haiti,12500,394955,CHF,"[{'action': 'Shelter', 'executed_in': [{'country': 'Haiti', 'action_description': 'Conduct shelter assessments and distribute shelter kits to 1,000 families (5,000 people).', 'people_reached': {'total': 5000}, 'funding_used': 59960}], 'total_action_funding': 59960}, {'action': 'Health', 'executed_in': [{'country': 'Haiti', 'action_description': 'Reach 42,433 people with health-related activities, including MHPSS, epidemic control, and ambulance services.', 'people_reached': {'total': 42433}, 'funding_used': 84135}], 'total_action_funding': 84135}, {'action': 'WASH', 'executed_in': [{'country': 'Haiti', 'action_description': 'Reach 39,840 people with WASH-related activities, including distribution of jerry cans, buckets, hygiene kits, ORS, and Aqua Tabs.', 'people_reached': {'total': 39840}, 'funding_used': 110227}], 'total_action_funding': 110227}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Haiti', 'action_description': 'Promote effective participation and feedback from affected communities, involving community members in interventions.', 'people_reached': {'total': 67}, 'funding_used': 10650}], 'total_action_funding': 10650}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Haiti', 'action_description': 'Train and equip volunteers, hire staff to support the implementation of the IFRC-DREF operation.', 'people_reached': {'total': 154}, 'funding_used': 85253}], 'total_action_funding': 85253}]"
36,14-11-2023,False,MDRIL004,Israel,10000,999396,CHF,"[{'action': 'Emergency Medical Services', 'executed_in': [{'country': 'Israel', 'action_description': 'MDA activated its response system to ensure it has the capacity to respond to any potential events occurring at the community level throughout the country.', 'people_reached': {'total': 10000}, 'funding_used': 999396}], 'total_action_funding': 999396}]"
37,31-08-2023,False,MDRIN028,"Himachal Pradesh, Uttarakhand, India",40000,539063,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'India', 'action_description': 'Distributed tarpaulins, kitchen sets, and blankets to 8,000 households, aiding in rehabilitation efforts.', 'people_reached': {'total': 40000}, 'funding_used': 437715}], 'total_action_funding': 437715}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'India', 'action_description': 'Distributed hygiene kits and conducted hygiene promotion activities to mitigate disease risk.', 'people_reached': {'total': 40000}, 'funding_used': 93720}], 'total_action_funding': 93720}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'India', 'action_description': 'Mobilized volunteers for rescue operations, first aid, and relief distribution. Conducted needs assessments and awareness activities.', 'people_reached': {'total': 59}, 'funding_used': 5498}], 'total_action_funding': 5498}]"
38,04/Jul/2024,False,MDRKE054,Kenya,3789666,748866,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Kenya', 'action_description': 'Train MOH staff/CHVs, RC staff & volunteers on EPIC module, provide equipment and supplies for case management & IPC, sensitize Health Care workers on Cholera Case management protocol and IPC.', 'people_reached': {'total': 3789666, 'male': 1877780, 'female': 1911886}, 'funding_used': 493176}], 'total_action_funding': 493176}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Kenya', 'action_description': 'Conduct WASH assessments, train KRCS volunteers & CHVs on E-WASH, procure and distribute WASH chemicals, conduct decontamination activities at household or facilities.', 'people_reached': {'total': 3877152, 'male': 1899804, 'female': 1977348}, 'funding_used': 62973}], 'total_action_funding': 62973}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Kenya', 'action_description': 'Reach people with disability and minority groups with Cholera prevention messages, engage and assist in the activities.', 'people_reached': {'total': 168682}, 'funding_used': 0}], 'total_action_funding': 0}]"
39,2023-03-26,False,MDRKE056,Kenya,48270,449557,CHF,"[{'action': 'Shelter', 'executed_in': [{'country': 'Kenya', 'action_description': 'Provision of emergency shelter and essential household items to displaced families.', 'people_reached': {'total': 48270}, 'funding_used': 182517}], 'total_action_funding': 182517}, {'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Kenya', 'action_description': 'Distribution of food rations to vulnerable families who lost their means of livelihood.', 'people_reached': {'total': 18055}, 'funding_used': 63002}], 'total_action_funding': 63002}, {'action': 'Health', 'executed_in': [{'country': 'Kenya', 'action_description': 'Provision of first aid, psychosocial support, health promotion, and distribution of mosquito nets.', 'people_reached': {'total': 18000}, 'funding_used': 53311}], 'total_action_funding': 53311}, {'action': 'WASH', 'executed_in': [{'country': 'Kenya', 'action_description': 'Distribution of water treatment chemicals, rehabilitation of water facilities, and hygiene promotion.', 'people_reached': {'total': 48270}, 'funding_used': 81709}], 'total_action_funding': 81709}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Kenya', 'action_description': 'Community sensitization on SGBV prevention and ensuring equitable delivery of services.', 'people_reached': {'total': 48270}, 'funding_used': 4447}], 'total_action_funding': 4447}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Kenya', 'action_description': 'Involving communities in all stages of the response and addressing their feedback.', 'people_reached': {'total': 15000}, 'funding_used': 4037}], 'total_action_funding': 4037}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Kenya', 'action_description': 'Training volunteers and staff, ensuring proper response capabilities.', 'people_reached': {'total': 240}, 'funding_used': 34898}], 'total_action_funding': 34898}]"
40,31-08-2023,False,MDRKE057,"Kilifi, Kenya",1093,123686,CHF,"[{'action': 'Search and Rescue', 'executed_in': [{'country': 'Kenya', 'action_description': 'Intense effort from the team deployed were made to the search and rescue actions. The alive victims were evacuated to the health services for further support.', 'people_reached': {'total': 1093}, 'funding_used': 80922}], 'total_action_funding': 80922}, {'action': 'Health', 'executed_in': [{'country': 'Kenya', 'action_description': 'Emergency first aid, Psychological First Aid, and deployment of health kits. Regular MHPSS and communication to update the local communities.', 'people_reached': {'total': 1093}, 'funding_used': 80922}], 'total_action_funding': 80922}, {'action': 'Restoration of Family Links', 'executed_in': [{'country': 'Kenya', 'action_description': 'Restoration of family links to those who had been separated, hygiene promotion, water treatment, sanitation for displaced.', 'people_reached': {'total': 18}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Protection, Gender & Inclusion and CEA', 'executed_in': [{'country': 'Kenya', 'action_description': 'Cross-cutting in all sectors with particular attention towards displaced households.', 'people_reached': {'total': 3000}, 'funding_used': 0}], 'total_action_funding': 0}]"
41,25-08-2023,False,MDRKG017,"Issyk-Kul region, Kyrgyzstan",1061,99549,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'Support with follow-up cleaning activities from mudflow remains.', 'people_reached': {'total': 8000}, 'funding_used': 2574.03}], 'total_action_funding': 2574.03}, {'action': 'Multi-purpose Cash Grants', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'Provide multi-purpose cash grants to address shelter, food, and basic needs.', 'people_reached': {'total': 1061}, 'funding_used': 62351}], 'total_action_funding': 62351}, {'action': 'Health', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'Community-based health promotion, first aid awareness, and PFA activities.', 'people_reached': {'total': 344}, 'funding_used': 5432}], 'total_action_funding': 5432}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'Distribution of hygiene kits to the most affected families.', 'people_reached': {'total': 725}, 'funding_used': 2556}], 'total_action_funding': 2556}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'PGI training sessions for staff and volunteers.', 'people_reached': {'total': 40}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'Conduct community outreach, FGDs, and establish feedback mechanisms.', 'people_reached': {'total': 1061}, 'funding_used': 1065}], 'total_action_funding': 1065}]"
42,31-08-2023,False,MDRKG018,Kyrgyzstan,120987,188976,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'Supported supplementary immunization campaigns, worked with parents of zero-dose children, conducted public education on vaccination.', 'people_reached': {'total': 120987}, 'funding_used': 112571}], 'total_action_funding': 112571}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'Conducted risk communication work on measles and promoted vaccination through TV, radio, social media, and bloggers.', 'people_reached': {'total': 30371}, 'funding_used': 27158}], 'total_action_funding': 27158}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Kyrgyzstan', 'action_description': 'Conducted lessons learned workshops and provided DREF tool training for RCSK and IFRC participants.', 'people_reached': {'total': 158}, 'funding_used': 49248}], 'total_action_funding': 49248}]"
43,11/Jun/2024,False,MDRKM010,Comoros,22,66310,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Comoros', 'action_description': 'Provide first aid, health services, evacuation, and psychological support in high-risk areas affected by post-election violence.', 'people_reached': {'total': 22}, 'funding_used': 41269}], 'total_action_funding': 41269}, {'action': 'Strengthen National Societies', 'executed_in': [{'country': 'Comoros', 'action_description': 'Deploy volunteers, provide training, and support local Red Crescent offices in high-risk areas.', 'people_reached': {'total': 75}, 'funding_used': 3322}], 'total_action_funding': 3322}, {'action': 'Ensure a strong IFRC', 'executed_in': [{'country': 'Comoros', 'action_description': 'Provide technical support, conduct coordination meetings, and organize lessons learned workshops.', 'people_reached': {'total': 75}, 'funding_used': 193}], 'total_action_funding': 193}]"
44,2023-02-21,False,MDRLB013,Lebanon,11890,366876,CHF,"[{'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Lebanon', 'action_description': 'Distribute food parcels, bread, drinking water, and fuel vouchers to households affected by severe weather.', 'people_reached': {'total': 14265}, 'funding_used': 219644}], 'total_action_funding': 219644}, {'action': 'Healthcare', 'executed_in': [{'country': 'Lebanon', 'action_description': 'Cover hospital bills for Palestinian refugees and other vulnerable patients in target areas.', 'people_reached': {'total': 161}, 'funding_used': 46664}], 'total_action_funding': 46664}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Lebanon', 'action_description': 'Strengthen the capacity of the Lebanese Red Cross through various support activities.', 'funding_used': 96630}], 'total_action_funding': 96630}]"
45,29-07-2023,False,MDRLB014,"Ain el-Helweh, Lebanon",80835,368582,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Lebanon', 'action_description': ""Support the urgent needs of PRCS-L's Al-Hamshari hospital in Saida, ensuring provision of medical supplies and coverage of patients’ medical bills."", 'people_reached': {'total': 1572, 'male': 890, 'female': 682}, 'funding_used': 265599}], 'total_action_funding': 265599}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Lebanon', 'action_description': 'Provide hygiene kits, disinfection kits, and safe drinking water to displaced families in shelters.', 'people_reached': {'total': 870}, 'funding_used': 7845}], 'total_action_funding': 7845}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Lebanon', 'action_description': 'Support the operation with finance in emergency staff and conduct lessons learned workshops.', 'people_reached': {'total': 0}, 'funding_used': 11759}], 'total_action_funding': 11759}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Lebanon', 'action_description': 'Strengthen the capacity of the National Society through various initiatives.', 'people_reached': {'total': 810}, 'funding_used': 83379}], 'total_action_funding': 83379}]"
46,2022-12-29,False,MDRLK016,Western,104,91140,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Provide temporary shelter with adequate relief items and support permanent housing.', 'people_reached': {'total': 104}, 'funding_used': 18687}], 'total_action_funding': 18687}, {'action': 'Health', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Provide medical services, clinical services, laboratory testing, and mental health support.', 'people_reached': {'total': 104}, 'funding_used': 25146}], 'total_action_funding': 25146}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Distribute sanitary napkins, hygiene kits, and conduct hygiene promotion sessions.', 'people_reached': {'total': 104}, 'funding_used': 11619}], 'total_action_funding': 11619}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Promote inclusion, address protection needs, and support unaccompanied children.', 'people_reached': {'total': 104}, 'funding_used': 4053}], 'total_action_funding': 4053}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Provide cash and voucher assistance to meet immediate needs of migrants.', 'people_reached': {'total': 97}, 'funding_used': 2080}], 'total_action_funding': 2080}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Conduct assessments and lessons-learned workshops to improve response strategies.', 'funding_used': 14858}], 'total_action_funding': 14858}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Deploy procurement surge personnel and conduct monitoring visits.', 'funding_used': 14697}], 'total_action_funding': 14697}]"
47,31-10-2023,False,MDRLK017,Sri Lanka,362085,348470,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Minimize dengue cases through prevention and response activities in eight districts.', 'people_reached': {'total': 357085}, 'funding_used': 79275}], 'total_action_funding': 79275}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Clean-up campaigns and awareness programs to reduce dengue breeding sites and ensure access to safe drinking water.', 'people_reached': {'total': 50000}, 'funding_used': 122190}], 'total_action_funding': 122190}, {'action': 'Multipurpose Cash', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Provide cash assistance to flood-affected households to meet their essential needs.', 'people_reached': {'total': 3745}, 'funding_used': 52795}], 'total_action_funding': 52795}, {'action': 'Shelter and Household Items', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Provide household items to flood-affected families to support their recovery.', 'people_reached': {'total': 500}, 'funding_used': 3736}], 'total_action_funding': 3736}, {'action': 'Education', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Distribute school packs to children affected by floods to facilitate their return to school.', 'people_reached': {'total': 750}, 'funding_used': 18515}], 'total_action_funding': 18515}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Ensure transparency and accountability in the selection and assistance process through community engagement.', 'people_reached': {'total': 357085}, 'funding_used': 3441}], 'total_action_funding': 3441}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Incorporate PGI concerns into all activities to ensure equal opportunities and protection for all.', 'people_reached': {'total': 357085}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Sri Lanka', 'action_description': 'Conduct lessons-learned workshops and ensure volunteer insurance and monitoring visits.', 'people_reached': {'total': 600}, 'funding_used': 58950}], 'total_action_funding': 58950}]"
48,30-01-2024,True,MDRLY004,Libyan-Tunisian border,3000,357308,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Libya', 'action_description': 'Provision of first aid services and medical aid to migrants at the border.', 'people_reached': {'total': 1200}, 'funding_used': 87147}], 'total_action_funding': 87147}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Libya', 'action_description': 'Distribution of hygiene kits and cleaning kits, rehabilitation of WASH facilities.', 'people_reached': {'total': 0}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Migration And Displacement', 'executed_in': [{'country': 'Libya', 'action_description': 'Facilitation of communication for migrants to contact their families and embassies.', 'people_reached': {'total': 0}, 'funding_used': 0}], 'total_action_funding': 0}]"
49,2023-07-31,False,MDRMG020,Madagascar,3500,257091,CHF,"[{'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Distribution of multipurpose cash to 700 families, complemented with specific items difficult to find locally.', 'people_reached': {'total': 3500}, 'funding_used': 33015}], 'total_action_funding': 33015}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Distribution of WASH kits to 700 households in Manakara district.', 'people_reached': {'total': 3500}, 'funding_used': 14271}], 'total_action_funding': 14271}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Deployment of surge profiles including Operations Manager, IM, and Shelter Cluster Coordinator.', 'people_reached': {'total': 4}, 'funding_used': 47925}], 'total_action_funding': 47925}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Distribution of dignity kits and training on PSEA for staff and volunteers.', 'people_reached': {'total': 3500}, 'funding_used': 26732}], 'total_action_funding': 26732}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Insurance and provision of PPE and visibility items for volunteers.', 'people_reached': {'total': 500}, 'funding_used': 33335}], 'total_action_funding': 33335}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Ensuring community feedback is acted on and holding consultation meetings with community representatives.', 'people_reached': {'total': 3500}, 'funding_used': 4793}], 'total_action_funding': 4793}, {'action': 'Shelter Housing And Settlements', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Distribution of shelter kits to 700 households in Manakara.', 'people_reached': {'total': 3500}, 'funding_used': 94892}], 'total_action_funding': 94892}, {'action': 'Health', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Distribution of mosquito nets and deployment of trained volunteers.', 'people_reached': {'total': 3500}, 'funding_used': 2130}], 'total_action_funding': 2130}]"
50,22/May/2024,False,MDRMG021,Madagascar,9000,144361,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Mobilization and training of staff and volunteers for psychosocial first aid, PGI, PSEA activities.', 'people_reached': {'total': 129}, 'funding_used': 37477}], 'total_action_funding': 37477}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Preposition and distribution of emergency first aid kits in hotspots zones.', 'people_reached': {'total': 5275}, 'funding_used': 17550}], 'total_action_funding': 17550}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Mobilization of staff and volunteers for RC Movement role, mission, mandate and principles.', 'people_reached': {'total': 5275}, 'funding_used': 11669}], 'total_action_funding': 11669}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Coordination with local, and national level government institution as well as other partners.', 'people_reached': {'total': 2}, 'funding_used': -733}], 'total_action_funding': -733}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Madagascar', 'action_description': 'Preparing for future elections by equipping the eight branches.', 'people_reached': {'total': 200}, 'funding_used': 8730}], 'total_action_funding': 8730}]"
